,layer,similarity
404,layer_20,0.050323486328125
405,layer_21,0.0799560546875
406,layer_22,0.0225830078125
407,layer_23,0.046844482421875
408,layer_24,0.04669189453125
409,layer_25,0.00531768798828125
410,layer_26,0.0545654296875
411,layer_27,0.033416748046875
412,layer_28,0.08514404296875
413,layer_29,0.164794921875
414,layer_30,0.10040283203125
415,layer_31,0.09954833984375
416,layer_0,0.034423828125
417,layer_1,0.01513671875
418,layer_2,0.054107666015625
419,layer_3,0.052459716796875
420,layer_4,0.044464111328125
421,layer_5,0.076416015625
422,layer_6,0.0098419189453125
423,layer_7,0.01169586181640625
424,layer_8,0.0039215087890625
425,layer_9,0.004638671875
426,layer_10,0.0416259765625
427,layer_11,0.0078582763671875
428,layer_12,0.0002760887145996094
429,layer_13,0.0048980712890625
430,layer_14,0.038970947265625
431,layer_15,0.09283447265625
432,layer_16,0.0887451171875
433,layer_17,0.0194854736328125
434,layer_18,0.058013916015625
435,layer_19,0.1446533203125
436,layer_20,0.06231689453125
437,layer_21,0.0982666015625
438,layer_22,0.0087890625
439,layer_23,0.060333251953125
440,layer_24,0.0462646484375
441,layer_25,0.0031642913818359375
442,layer_26,0.0238494873046875
443,layer_27,0.042999267578125
444,layer_28,0.0491943359375
445,layer_29,0.165771484375
446,layer_30,0.087646484375
447,layer_31,0.0894775390625
448,layer_0,0.050628662109375
449,layer_1,0.0001304149627685547
450,layer_2,0.05218505859375
451,layer_3,0.041351318359375
452,layer_4,0.048431396484375
453,layer_5,0.07611083984375
454,layer_6,0.00588226318359375
455,layer_7,0.007537841796875
456,layer_8,0.006145477294921875
457,layer_9,0.00856781005859375
458,layer_10,0.0426025390625
459,layer_11,0.005207061767578125
460,layer_12,0.005382537841796875
461,layer_13,0.01174163818359375
462,layer_14,0.04205322265625
463,layer_15,0.083251953125
464,layer_16,0.09271240234375
465,layer_17,0.005077362060546875
466,layer_18,0.057403564453125
467,layer_19,0.127685546875
468,layer_20,0.0645751953125
469,layer_21,0.1019287109375
470,layer_22,0.00675201416015625
471,layer_23,0.0662841796875
472,layer_24,0.038330078125
473,layer_25,1.7285346984863281e-06
474,layer_26,0.05523681640625
475,layer_27,0.034912109375
476,layer_28,0.090087890625
477,layer_29,0.150146484375
478,layer_30,0.07537841796875
479,layer_31,0.10064697265625
480,layer_0,0.0860595703125
481,layer_1,0.0068359375
482,layer_2,0.04034423828125
483,layer_3,0.0672607421875
484,layer_4,0.055267333984375
485,layer_5,0.0721435546875
486,layer_6,0.012908935546875
487,layer_7,0.00799560546875
488,layer_8,0.00714111328125
489,layer_9,0.004116058349609375
490,layer_10,0.0396728515625
491,layer_11,0.0084991455078125
492,layer_12,0.006381988525390625
493,layer_13,0.0017948150634765625
494,layer_14,0.0343017578125
495,layer_15,0.08245849609375
496,layer_16,0.080322265625
497,layer_17,0.0196990966796875
498,layer_18,0.05169677734375
499,layer_19,0.141845703125
500,layer_20,0.06646728515625
501,layer_21,0.10211181640625
502,layer_22,0.045684814453125
503,layer_23,0.024688720703125
504,layer_24,0.054901123046875
505,layer_25,0.0026340484619140625
506,layer_26,0.052947998046875
507,layer_27,0.035980224609375
508,layer_28,0.0872802734375
509,layer_29,0.176025390625
510,layer_30,0.09930419921875
511,layer_31,0.09002685546875
512,layer_0,0.0660400390625
513,layer_1,0.019927978515625
514,layer_2,0.048980712890625
515,layer_3,0.042694091796875
516,layer_4,0.063232421875
517,layer_5,0.06982421875
518,layer_6,0.0004024505615234375
519,layer_7,0.0156707763671875
520,layer_8,0.0034999847412109375
521,layer_9,0.00860595703125
522,layer_10,0.046234130859375
523,layer_11,0.0262451171875
524,layer_12,0.004985809326171875
525,layer_13,0.01507568359375
526,layer_14,0.0179290771484375
527,layer_15,0.09002685546875
528,layer_16,0.10369873046875
529,layer_17,0.01459503173828125
530,layer_18,0.062469482421875
531,layer_19,0.145263671875
532,layer_20,0.053955078125
533,layer_21,0.0848388671875
534,layer_22,0.0305938720703125
535,layer_23,0.056396484375
536,layer_24,0.059661865234375
537,layer_25,0.00865936279296875
538,layer_26,0.051544189453125
539,layer_27,0.060821533203125
540,layer_28,0.0631103515625
541,layer_29,0.1666259765625
542,layer_30,0.07391357421875
543,layer_31,0.1182861328125
544,layer_0,0.0870361328125
545,layer_1,0.03240966796875
546,layer_2,0.05865478515625
547,layer_3,0.047454833984375
548,layer_4,0.05615234375
549,layer_5,0.07855224609375
550,layer_6,0.01132965087890625
551,layer_7,0.007213592529296875
552,layer_8,0.0092620849609375
553,layer_9,0.014923095703125
554,layer_10,0.043975830078125
555,layer_11,0.00714111328125
556,layer_12,0.015411376953125
557,layer_13,0.0042572021484375
558,layer_14,0.0292510986328125
559,layer_15,0.087158203125
560,layer_16,0.09857177734375
561,layer_17,0.0211944580078125
562,layer_18,0.0648193359375
563,layer_19,0.1513671875
564,layer_20,0.051849365234375
565,layer_21,0.0792236328125
566,layer_22,0.03668212890625
567,layer_23,0.0372314453125
568,layer_24,0.06304931640625
569,layer_25,0.006061553955078125
570,layer_26,0.036773681640625
571,layer_27,0.035675048828125
572,layer_28,0.06719970703125
573,layer_29,0.16162109375
574,layer_30,0.05755615234375
575,layer_31,0.100830078125
576,layer_0,0.06707763671875
577,layer_1,0.03594970703125
578,layer_2,0.0814208984375
579,layer_3,0.0738525390625
580,layer_4,0.0943603515625
581,layer_5,0.08392333984375
582,layer_6,0.0171966552734375
583,layer_7,0.00040793418884277344
584,layer_8,0.0011167526245117188
585,layer_9,0.00949859619140625
586,layer_10,0.03314208984375
587,layer_11,0.00502777099609375
588,layer_12,0.002429962158203125
589,layer_13,0.0010890960693359375
590,layer_14,0.0288238525390625
591,layer_15,0.08245849609375
592,layer_16,0.0921630859375
593,layer_17,0.0224151611328125
594,layer_18,0.0767822265625
595,layer_19,0.160400390625
596,layer_20,0.0771484375
597,layer_21,0.10491943359375
598,layer_22,0.05657958984375
599,layer_23,0.049407958984375
600,layer_24,0.07379150390625
601,layer_25,0.0099639892578125
602,layer_26,0.0623779296875
603,layer_27,0.05841064453125
604,layer_28,0.10107421875
605,layer_29,0.184326171875
606,layer_30,0.10235595703125
607,layer_31,0.10394287109375
608,layer_0,0.01201629638671875
609,layer_1,0.0185394287109375
610,layer_2,0.043487548828125
611,layer_3,0.042022705078125
612,layer_4,0.0704345703125
613,layer_5,0.0880126953125
614,layer_6,0.0210723876953125
615,layer_7,0.0012607574462890625
616,layer_8,0.0008096694946289062
617,layer_9,0.0015926361083984375
618,layer_10,0.0421142578125
619,layer_11,0.0288543701171875
620,layer_12,0.0084381103515625
621,layer_13,0.00051116943359375
622,layer_14,0.036773681640625
623,layer_15,0.0794677734375
624,layer_16,0.0845947265625
625,layer_17,0.0074920654296875
626,layer_18,0.03985595703125
627,layer_19,0.1192626953125
628,layer_20,0.059234619140625
629,layer_21,0.062164306640625
630,layer_22,0.001415252685546875
631,layer_23,0.05731201171875
632,layer_24,0.0733642578125
633,layer_25,0.01274871826171875
634,layer_26,0.025543212890625
635,layer_27,0.072509765625
636,layer_28,0.0465087890625
637,layer_29,0.1553955078125
638,layer_30,0.068115234375
639,layer_31,0.05059814453125
640,layer_0,0.04010009765625
641,layer_1,0.020477294921875
642,layer_2,0.0496826171875
643,layer_3,0.05621337890625
644,layer_4,0.0758056640625
645,layer_5,0.09234619140625
646,layer_6,0.021942138671875
647,layer_7,0.0132293701171875
648,layer_8,0.0151824951171875
649,layer_9,0.01389312744140625
650,layer_10,0.034332275390625
651,layer_11,0.0190277099609375
652,layer_12,0.0017137527465820312
653,layer_13,0.009521484375
654,layer_14,0.033203125
655,layer_15,0.0821533203125
656,layer_16,0.0821533203125
657,layer_17,0.00039577484130859375
658,layer_18,0.0653076171875
659,layer_19,0.1427001953125
660,layer_20,0.07879638671875
661,layer_21,0.06964111328125
662,layer_22,0.00252532958984375
663,layer_23,0.067626953125
664,layer_24,0.06866455078125
665,layer_25,0.0003764629364013672
666,layer_26,0.035858154296875
667,layer_27,0.0390625
668,layer_28,0.0823974609375
669,layer_29,0.199462890625
670,layer_30,0.0887451171875
671,layer_31,0.065185546875
672,layer_0,0.0660400390625
673,layer_1,0.026214599609375
674,layer_2,0.05084228515625
675,layer_3,0.0533447265625
676,layer_4,0.1002197265625
677,layer_5,0.10223388671875
678,layer_6,0.02313232421875
679,layer_7,0.0080108642578125
680,layer_8,0.0141143798828125
681,layer_9,0.0152435302734375
682,layer_10,0.034881591796875
683,layer_11,0.00418853759765625
684,layer_12,0.0009160041809082031
685,layer_13,0.01099395751953125
686,layer_14,0.039794921875
687,layer_15,0.08209228515625
688,layer_16,0.09844970703125
689,layer_17,0.0196990966796875
690,layer_18,0.05987548828125
691,layer_19,0.1568603515625
692,layer_20,0.07366943359375
693,layer_21,0.10076904296875
694,layer_22,0.022613525390625
695,layer_23,0.056884765625
696,layer_24,0.0692138671875
697,layer_25,0.0228118896484375
698,layer_26,0.054473876953125
699,layer_27,0.01532745361328125
700,layer_28,0.09857177734375
701,layer_29,0.2088623046875
702,layer_30,0.1090087890625
703,layer_31,0.0968017578125
704,layer_0,0.0262603759765625
705,layer_1,0.037384033203125
706,layer_2,0.041168212890625
707,layer_3,0.056396484375
708,layer_4,0.0673828125
709,layer_5,0.08453369140625
710,layer_6,0.02313232421875
711,layer_7,0.005207061767578125
712,layer_8,0.0044403076171875
713,layer_9,0.0095977783203125
714,layer_10,0.0574951171875
715,layer_11,0.018798828125
716,layer_12,0.005878448486328125
717,layer_13,0.006961822509765625
718,layer_14,0.03265380859375
719,layer_15,0.07952880859375
720,layer_16,0.07769775390625
721,layer_17,0.0151519775390625
722,layer_18,0.043701171875
723,layer_19,0.117919921875
724,layer_20,0.048004150390625
725,layer_21,0.078125
726,layer_22,0.0268707275390625
727,layer_23,0.06292724609375
728,layer_24,0.03411865234375
729,layer_25,0.015655517578125
730,layer_26,0.036773681640625
731,layer_27,0.0328369140625
732,layer_28,0.06103515625
733,layer_29,0.1693115234375
734,layer_30,0.10357666015625
735,layer_31,0.1346435546875
736,layer_0,0.049163818359375
737,layer_1,0.01422882080078125
738,layer_2,0.055145263671875
739,layer_3,0.0271453857421875
740,layer_4,0.06695556640625
741,layer_5,0.09716796875
742,layer_6,0.01523590087890625
743,layer_7,0.006084442138671875
744,layer_8,0.00035858154296875
745,layer_9,0.01422119140625
746,layer_10,0.045318603515625
747,layer_11,0.0055084228515625
748,layer_12,0.0049285888671875
749,layer_13,0.001407623291015625
750,layer_14,0.0269927978515625
751,layer_15,0.0947265625
752,layer_16,0.06744384765625
753,layer_17,0.014251708984375
754,layer_18,0.0413818359375
755,layer_19,0.1273193359375
756,layer_20,0.0560302734375
757,layer_21,0.0838623046875
758,layer_22,0.0295867919921875
759,layer_23,0.032806396484375
760,layer_24,0.0352783203125
761,layer_25,0.01207733154296875
762,layer_26,0.051971435546875
763,layer_27,0.03277587890625
764,layer_28,0.056121826171875
765,layer_29,0.1636962890625
766,layer_30,0.0716552734375
767,layer_31,0.1138916015625
768,layer_0,0.07293701171875
769,layer_1,0.0004177093505859375
770,layer_2,0.05975341796875
771,layer_3,0.07952880859375
772,layer_4,0.043792724609375
773,layer_5,0.078369140625
774,layer_6,0.0026226043701171875
775,layer_7,0.01103973388671875
776,layer_8,0.01430511474609375
777,layer_9,0.0003609657287597656
778,layer_10,0.0401611328125
779,layer_11,0.01107025146484375
780,layer_12,0.007411956787109375
781,layer_13,0.01495361328125
782,layer_14,0.0208587646484375
783,layer_15,0.1064453125
784,layer_16,0.1007080078125
785,layer_17,0.0162506103515625
786,layer_18,0.06011962890625
787,layer_19,0.1513671875
788,layer_20,0.072021484375
789,layer_21,0.10400390625
790,layer_22,0.02490234375
791,layer_23,0.0272064208984375
792,layer_24,0.047332763671875
793,layer_25,0.0041046142578125
794,layer_26,0.050140380859375
795,layer_27,0.042877197265625
796,layer_28,0.09130859375
797,layer_29,0.1771240234375
798,layer_30,0.053955078125
799,layer_31,0.10015869140625
800,layer_0,0.053741455078125
801,layer_1,0.02008056640625
802,layer_2,0.032928466796875
803,layer_3,0.0313720703125
804,layer_4,0.058197021484375
805,layer_5,0.08697509765625
806,layer_6,0.0102691650390625
807,layer_7,0.0032558441162109375
808,layer_8,0.014556884765625
809,layer_9,0.0012664794921875
810,layer_10,0.0478515625
811,layer_11,0.00606536865234375
812,layer_12,0.01129913330078125
813,layer_13,0.019012451171875
814,layer_14,0.027191162109375
815,layer_15,0.08160400390625
816,layer_16,0.09149169921875
817,layer_17,0.0137786865234375
818,layer_18,0.05377197265625
819,layer_19,0.142578125
820,layer_20,0.058502197265625
821,layer_21,0.077392578125
822,layer_22,0.0104827880859375
823,layer_23,0.0496826171875
824,layer_24,0.06878662109375
825,layer_25,0.006099700927734375
826,layer_26,0.040435791015625
827,layer_27,0.04071044921875
828,layer_28,0.06243896484375
829,layer_29,0.159423828125
830,layer_30,0.076904296875
831,layer_31,0.119140625
832,layer_0,0.04864501953125
833,layer_1,0.031585693359375
834,layer_2,0.0633544921875
835,layer_3,0.072265625
836,layer_4,0.0496826171875
837,layer_5,0.1146240234375
838,layer_6,0.01019287109375
839,layer_7,0.01568603515625
840,layer_8,0.005054473876953125
841,layer_9,0.002239227294921875
842,layer_10,0.043243408203125
843,layer_11,0.0076446533203125
844,layer_12,0.0033435821533203125
845,layer_13,0.021636962890625
846,layer_14,0.0304107666015625
847,layer_15,0.0882568359375
848,layer_16,0.09930419921875
849,layer_17,0.0018205642700195312
850,layer_18,0.06622314453125
851,layer_19,0.1439208984375
852,layer_20,0.0675048828125
853,layer_21,0.072265625
854,layer_22,0.0196075439453125
855,layer_23,0.0087127685546875
856,layer_24,0.059112548828125
857,layer_25,0.0016040802001953125
858,layer_26,0.0477294921875
859,layer_27,0.043426513671875
860,layer_28,0.08392333984375
861,layer_29,0.1585693359375
862,layer_30,0.0565185546875
863,layer_31,0.1409912109375
864,layer_0,0.07379150390625
865,layer_1,0.0355224609375
866,layer_2,0.04376220703125
867,layer_3,0.06793212890625
868,layer_4,0.0281982421875
869,layer_5,0.07733154296875
870,layer_6,0.001068115234375
871,layer_7,0.01239776611328125
872,layer_8,0.00374603271484375
873,layer_9,0.006404876708984375
874,layer_10,0.036163330078125
875,layer_11,0.008544921875
876,layer_12,0.01508331298828125
877,layer_13,0.0231781005859375
878,layer_14,0.0298614501953125
879,layer_15,0.0804443359375
880,layer_16,0.09039306640625
881,layer_17,0.01209259033203125
882,layer_18,0.069091796875
883,layer_19,0.11553955078125
884,layer_20,0.049835205078125
885,layer_21,0.08746337890625
886,layer_22,0.02423095703125
887,layer_23,0.0135345458984375
888,layer_24,0.06829833984375
889,layer_25,0.01151275634765625
890,layer_26,0.0653076171875
891,layer_27,0.02008056640625
892,layer_28,0.0716552734375
893,layer_29,0.153564453125
894,layer_30,0.03692626953125
895,layer_31,0.046142578125
896,layer_0,0.059417724609375
897,layer_1,0.01412200927734375
898,layer_2,0.0262298583984375
899,layer_3,0.0259246826171875
900,layer_4,0.03125
901,layer_5,0.0743408203125
902,layer_6,0.005786895751953125
903,layer_7,0.00818634033203125
904,layer_8,0.019683837890625
905,layer_9,0.0034427642822265625
906,layer_10,0.03472900390625
907,layer_11,0.01296234130859375
908,layer_12,0.0089111328125
909,layer_13,0.011322021484375
910,layer_14,0.035858154296875
911,layer_15,0.079833984375
912,layer_16,0.08984375
913,layer_17,0.006504058837890625
914,layer_18,0.06524658203125
915,layer_19,0.142333984375
916,layer_20,0.0697021484375
917,layer_21,0.08001708984375
918,layer_22,0.0150604248046875
919,layer_23,0.029388427734375
920,layer_24,0.0672607421875
